year,share,Group,selection
2003,1056.457,Marica,1
2004,1284.159,Marica,1
2005,1351.93,Marica,1
2006,1488.094,Marica,1
2007,1658.619,Marica,1
2008,1766.898,Marica,1
2009,2033.88,Marica,1
2010,2515.755,Marica,1
2011,3125.854,Marica,1
2012,3852.074,Marica,1
2013,4573.835,Marica,1
2014,5557.764,Marica,1
2015,5881.858,Marica,1
2016,6119.084,Marica,1
2017,10283.26,Marica,1
2018,16979.77,Marica,1
2019,19330.1,Marica,1
2003,4637.805,SBPZ (excluding Marica),0
2004,4678.269,SBPZ (excluding Marica),0
2005,4924.086,SBPZ (excluding Marica),0
2006,5706.231,SBPZ (excluding Marica),0
2007,5994.157,SBPZ (excluding Marica),0
2008,7361.124,SBPZ (excluding Marica),0
2009,6434.069,SBPZ (excluding Marica),0
2010,7588.313,SBPZ (excluding Marica),0
2011,8382.459,SBPZ (excluding Marica),0
2012,9269.672,SBPZ (excluding Marica),0
2013,8941.607,SBPZ (excluding Marica),0
2014,9325.71,SBPZ (excluding Marica),0
2015,7383.741,SBPZ (excluding Marica),0
2016,6430.731,SBPZ (excluding Marica),0
2017,6519.812,SBPZ (excluding Marica),0
2018,7802.016,SBPZ (excluding Marica),0
2019,7886.17,SBPZ (excluding Marica),0
2003,2462.142,Others ,1
2004,2681.615,Others ,1
2005,2758.893,Others ,1
2006,3044.275,Others ,1
2007,3266.801,Others ,1
2008,3699.327,Others ,1
2009,3635.864,Others ,1
2010,4309.256,Others ,1
2011,4603.709,Others ,1
2012,4873.775,Others ,1
2013,4908.521,Others ,1
2014,5025.534,Others ,1
2015,4560.113,Others ,1
2016,4276.476,Others ,1
2017,4266.28,Others ,1
2018,4783.525,Others ,1
2019,5070.058,Others ,1